Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2012,A,0,SH_STA_TRAF,,PER_100000_POP,,10.54
2013,A,0,SH_STA_TRAF,,PER_100000_POP,,11.24
2014,A,0,SH_STA_TRAF,,PER_100000_POP,,8.08
2015,A,0,SH_STA_TRAF,,PER_100000_POP,,7.62
2016,A,0,SH_STA_TRAF,,PER_100000_POP,,4.41
2017,A,0,SH_STA_TRAF,,PER_100000_POP,,7.19
2018,A,0,SH_STA_TRAF,,PER_100000_POP,,7.95
