Year,SERIES,Value
2015,_L_GH_170301_01,20.0
2016,_L_GH_170301_01,26.0
2017,_L_GH_170301_01,32.0
2018,_L_GH_170301_01,24.0
2015,_L_GH_170301_02,18.9
2016,_L_GH_170301_02,12.2
2017,_L_GH_170301_02,10.2
