Year,SERIES,Value
2015,_L_GH_080901_01,3.5
2016,_L_GH_080901_01,3.7
2017,_L_GH_080901_01,3.9
2018,_L_GH_080901_01,3.8
2019,_L_GH_080901_01,3.7
2020,_L_GH_080901_01,2.4
2021,_L_GH_080901_01,2.2
2015,_L_GH_080901_02,4.1
2016,_L_GH_080901_02,2.3
2017,_L_GH_080901_02,7.6
2018,_L_GH_080901_02,3.2
2019,_L_GH_080901_02,6.0
2020,_L_GH_080901_02,-37.0
2021,_L_GH_080901_02,4.3
