Year,SERIES,UNIT_MEASURE,Value
2020-06,"Proportion of Household not able to buy at least one staple food - rice, maize, yam and casava",Percent,15.9
2020-06,Proportion of Households with children under 15 years eating fewer meals than usual,Percent,21.4
2020-09,"Proportion of Household not able to buy at least one staple food - rice, maize, yam and casava",Percent,13.4
2020-09,Proportion of Households with children under 15 years eating fewer meals than usual,Percent,17.7
