Year,SERIES,UNIT_MEASURE,Value
2017,EN_LND_SLUM,PT,39.3
2018,EN_LND_SLUM,PT,39.2
2019,EN_LND_SLUM,PT,38.9
2020,EN_LND_SLUM,PT,28.2
2017,EN_LND_SLUMN,NUMBER,5500000.0
2018,EN_LND_SLUMN,NUMBER,5970000.0
2019,EN_LND_SLUMN,NUMBER,5950000.0
2020,EN_LND_SLUMN,NUMBER,8800000.0
