Year,SERIES,UNIT_MEASURE,Value
2015,EN_H2O_WBAMBQ,PT,61.0
2017,EN_H2O_WBAMBQ,PT,52.0
2018,EN_H2O_WBAMBQ,PT,55.9
2017,_L_GH_060302_01,IX,51.5
2018,_L_GH_060302_01,IX,55.9
2019,_L_GH_060302_01,IX,57.8
2020,_L_GH_060302_01,IX,56.5
2021,_L_GH_060302_01,IX,58.2
