Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,A,0,GF_XPD_GBPC,,PT,,115.8
2017,A,0,GF_XPD_GBPC,,PT,,88.6
2018,A,0,GF_XPD_GBPC,,PT,,90.5
2019,A,0,GF_XPD_GBPC,,PT,,92.5
