Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2015,A,0,_L_GH_160501_01,,_L_GH_POLICE,PT,,64
2015,A,0,_L_GH_160501_01,,_L_GH_GOVOFF,PT,,53
2015,A,0,_L_GH_160501_01,,_L_GH_JUGMAG,PT,,49
2019,A,0,_L_GH_160501_01,,_L_GH_POLICE,PT,,59
2019,A,0,_L_GH_160501_01,,_L_GH_GOVOFF,PT,,35
2019,A,0,_L_GH_160501_01,,_L_GH_JUGMAG,PT,,38
