Year,SERIES,COMPOSITE_BREAKDOWN,Value
2017,_L_GH_070b01_01,,0.79
2018,_L_GH_070b01_01,,1.45
2019,_L_GH_070b01_01,,1.42
2020,_L_GH_070b01_01,,1.91
2021,_L_GH_070b01_01,,3.64
2021,_L_GH_070b01_02,TRT_HYDROPOWER,65.3
2021,_L_GH_070b01_02,TRT_GEOTHERMAL,0.6
2021,_L_GH_070b01_02,TRT_MULTIPLE,34.1
