Year,SERIES,UNIT_MEASURE,Value
2016,AG_PRD_ORTIND,IX,0.35
2017,AG_PRD_ORTIND,IX,0.48
2018,AG_PRD_ORTIND,IX,0.49
2019,AG_PRD_ORTIND,IX,0.25
2020,AG_PRD_ORTIND,IX,0.19
2016,AG_XPD_AGSGB,PT,9.81
2017,AG_XPD_AGSGB,PT,10.06
2018,AG_XPD_AGSGB,PT,10.32
2016,AG_PRD_AGVAS,PT,22.6
2017,AG_PRD_AGVAS,PT,21.15
2018,AG_PRD_AGVAS,PT,19.65
