Year,Value,UNIT_MEASURE,SERIES
2020-06,96.0,Percentage (%),Children likely to go back to school after mobility restrictions are lifted - Primary/JHS
2020-06,98.0,Percentage (%),Children likely to go back to school after mobility restrictions are lifted - Senior Secondary
2020-06,62.2,Percentage (%),Children engaged in any type of learning activity - Primary/JHS
2020-06,72.0,Percentage (%),Children engaged in any type of learning activity - Secondary
2020-09,97.1,Percentage (%),Children likely to go back to school after mobility restrictions are lifted - Primary/JHS
2020-09,98.6,Percentage (%),Children likely to go back to school after mobility restrictions are lifted - Senior Secondary
2020-09,71.3,Percentage (%),Children engaged in any type of learning activity - Primary/JHS
2020-09,79.8,Percentage (%),Children engaged in any type of learning activity - Secondary
