Year,Value,SERIES
2016,12.7,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1]
2017,13.4,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1]
2019,13.8,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1]
2016,5.0,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1]
2017,5.0,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1]
2019,3.2,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1]
2016,10.3,"Proportion of women among Metropolitan, Municipal, and District Chief Executives (MMDCES)"
2017,14.8,"Proportion of women among Metropolitan, Municipal, and District Chief Executives (MMDCES)"
2019,14.8,"Proportion of women among Metropolitan, Municipal, and District Chief Executives (MMDCES)"
