Year,Value,SERIES
2017,23.9,Number of registered mobile money accounts
2018,32.6,Number of registered mobile money accounts
2019,32.5,Number of registered mobile money accounts
2020,38.5,Number of registered mobile money accounts
2021,48.3,Number of registered mobile money accounts
2017,11.1,Number of active mobile money accounts
2018,13.1,Number of active mobile money accounts
2019,14.5,Number of active mobile money accounts
2020,17.1,Number of active mobile money accounts
2021,17.9,Number of active mobile money accounts
