Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2016,0.9,,Normal value,Units,Index,Red List Index [15.5.1]
2017,0.9,,Normal value,Units,Index,Red List Index [15.5.1]
2018,0.9,,Normal value,Units,Index,Red List Index [15.5.1]
2019,1.0,,Normal value,Units,Index,Red List Index [15.5.1]
