Year,Value,UNIT_MEASURE,SERIES
2020-06,15.9,Percentage (%),"Proportion of Household not able to buy at least one staple food - rice, maize, yam and casava"
2020-06,21.4,Percentage (%),Proportion of Households with children under 15 years eating fewer meals than usual
2020-09,13.4,Percentage (%),"Proportion of Household not able to buy at least one staple food - rice, maize, yam and casava"
2020-09,17.7,Percentage (%),Proportion of Households with children under 15 years eating fewer meals than usual
