Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2016,115.8,,Normal value,Units,Percent,Primary government expenditures as a proportion of original approved budget [16.6.1]
2017,88.6,,Normal value,Units,Percent,Primary government expenditures as a proportion of original approved budget [16.6.1]
2018,90.5,,Normal value,Units,Percent,Primary government expenditures as a proportion of original approved budget [16.6.1]
2019,92.5,,Normal value,Units,Percent,Primary government expenditures as a proportion of original approved budget [16.6.1]
