Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2016,20.0,,Normal value,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2017,20.2,,Normal value,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2018,15.9,,Normal value,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2019,15.3,,Normal value,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2020,14.4,,Normal value,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
