Year,Value,GeoCode,SERIES
2018,11.9,,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2]
2018,67.5,,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2]
