Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2012,4.7,,Normal value,Units,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2013,3.8,,Normal value,Units,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2014,5.2,,Normal value,Units,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2015,6.6,,Normal value,Units,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2016,3.4,,Normal value,Units,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2017,5.5,,Normal value,Units,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2018,3.9,,Normal value,Units,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2019,3.8,,Normal value,Units,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
