Year,Value,SERIES
2010,4.3,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2011,4.4,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2012,5.9,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2013,8.8,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2014,8.9,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2015,11.1,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2016,12.1,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2017,12.5,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2018,12.8,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2019,11.3,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2010,5.7,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2011,5.7,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2012,6.1,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2013,6.1,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2014,7.4,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2015,7.6,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2016,8.5,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2017,9.2,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2018,9.3,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2019,6.3,"Number of commercial bank branches per 100,000 adults [8.10.1]"
