Year,Value,SERIES
2010,73.8,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)"
2013,68.7,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)"
2014,68.2,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)"
2015,69.7,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)"
2016,67.5,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)"
2017,61.4,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)"
2018,68.2,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)"
2019,65.8,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)"
2020,72.2,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)"
2021,71.8,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)"
2010,58.7,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)"
2013,54.3,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)"
2014,53.5,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)"
2015,54.4,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)"
2016,52.1,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)"
2017,48.4,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)"
2018,49.2,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)"
2019,47.8,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)"
2020,51.1,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)"
2021,54.2,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)"
