Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,A,0,EN_H2O_WBAMBQ,,PT,,61.0
2017,A,0,EN_H2O_WBAMBQ,,PT,,52.0
2018,A,0,EN_H2O_WBAMBQ,,PT,,55.9
2017,A,0,_L_GH_060302_01,,IX,,51.5
2018,A,0,_L_GH_060302_01,,IX,,55.9
2019,A,0,_L_GH_060302_01,,IX,,57.8
2020,A,0,_L_GH_060302_01,,IX,,56.5
2021,A,0,_L_GH_060302_01,,IX,,58.2
