Year,SERIES,UNIT_MEASURE,Value
2015,Proportion of bodies of water with good ambient water quality [6.3.2],Percent,61.0
2017,Proportion of bodies of water with good ambient water quality [6.3.2],Percent,52.0
2018,Proportion of bodies of water with good ambient water quality [6.3.2],Percent,55.9
2017,Water quality index,Index,51.5
2018,Water quality index,Index,55.9
2019,Water quality index,Index,57.8
2020,Water quality index,Index,56.5
2021,Water quality index,Index,58.2
